,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
0,4673626,HM274058,04-02-2006 13:00,055XX N MANGO AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,FALSE,1622,16,45,11,26,1136872,1936499,2006,04/15/2016 08:55:02 AM,41.98191269,-87.77199638,"(41.981912692, -87.771996382)"
1,4673627,HM202199,02/26/2006 01:40:48 PM,065XX S RHODES AVE,2017,NARCOTICS,MANU/DELIVER:CRACK,SIDEWALK,TRUE,FALSE,321,3,20,42,18,1181027,1861693,2006,04/15/2016 08:55:02 AM,41.77573254,-87.61191981,"(41.775732538, -87.611919814)"
2,4673628,HM113861,01-08-2006 23:16,013XX E 69TH ST,051A,ASSAULT,AGGRAVATED: HANDGUN,OTHER,FALSE,FALSE,321,3,5,69,04A,1186023,1859609,2006,04/15/2016 08:55:02 AM,41.76989739,-87.5936709,"(41.769897392, -87.593670899)"
4,4673629,HM274049,04-05-2006 18:45,061XX W NEWPORT AVE,0460,BATTERY,SIMPLE,RESIDENCE,FALSE,FALSE,1633,16,38,17,08B,1134772,1922299,2006,04/15/2016 08:55:02 AM,41.94298401,-87.78005695,"(41.942984005, -87.780056951)"
5,4673630,HM187120,02/17/2006 09:03:14 PM,037XX W 60TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,TRUE,FALSE,822,8,13,65,18,1152412,1864560,2006,04/15/2016 08:55:02 AM,41.78421085,-87.71674491,"(41.784210853, -87.71674491)"
6,4673631,HM263167,03/30/2006 10:30:00 PM,014XX W 73RD PL,0560,ASSAULT,SIMPLE,APARTMENT,TRUE,FALSE,734,7,17,67,08A,1167688,1855998,2006,04/15/2016 08:55:02 AM,41.76040137,-87.66098239,"(41.760401372, -87.660982392)"
7,4673632,HM273234,04-05-2006 12:10,050XX N LARAMIE AVE,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",TRUE,FALSE,1623,16,45,11,08B,1140791,1932993,2006,04/15/2016 08:55:02 AM,41.97222056,-87.75766982,"(41.972220564, -87.75766982)"
8,4673633,HM275105,04-05-2006 15:00,067XX S ROCKWELL ST,0820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,832,8,15,66,06,1160205,1859776,2006,04/15/2016 08:55:02 AM,41.77092598,-87.68830411,"(41.770925978, -87.688304107)"
9,4673634,HM275063,04-05-2006 21:30,019XX W CHICAGO AVE,0560,ASSAULT,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1322,12,32,24,08A,1163122,1905349,2006,04/15/2016 08:55:02 AM,41.89592267,-87.67633373,"(41.895922672, -87.676333733)"
10,4673635,HM268513,04-03-2006 03:00,063XX S EBERHART AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,FALSE,TRUE,312,3,20,42,08B,1180669,1863047,2006,04/15/2016 08:55:02 AM,41.77945628,-87.61319063,"(41.77945628, -87.613190628)"
11,4673637,HM275073,04-06-2006 11:15,0000X N LA SALLE ST,0810,THEFT,OVER $500,STREET,FALSE,FALSE,113,1,42,32,06,1175135,1900412,2006,04/15/2016 08:55:02 AM,41.88211436,-87.63236101,"(41.882114362, -87.632361012)"
12,4673639,HM272124,04-04-2006 20:15,029XX S FEDERAL ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA HALLWAY/STAIRWELL/ELEVATOR,TRUE,FALSE,2113,1,3,35,26,1176025,1885766,2006,04/15/2016 08:55:02 AM,41.84190476,-87.62953384,"(41.841904764, -87.629533842)"
13,4673640,HM275082,04-06-2006 11:30,017XX E 86TH PL,0935,MOTOR VEHICLE THEFT,"THEFT/RECOVERY: TRUCK,BUS,MHOME",STREET,FALSE,FALSE,412,4,8,45,07,1189375,1847970,2006,04/15/2016 08:55:02 AM,41.73787917,-87.5817568,"(41.737879171, -87.581756795)"
